head,relation,tail,source,conf,sent_id,sentence,head_type,tail_type,note,topk
Apple,/business/company/place_founded,Cupertino,spanbert,0.9618849158287048,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",ORG,GPE,,"[[""/business/company/place_founded"", 0.9618849158287048], [""/sports/sports_team/location"", 0.006252983119338751], [""/people/deceased_person/place_of_death"", 0.004503515549004078], [""/business/company/major_shareholders"", 0.0038732639513909817], [""/business/company/advisors"", 0.0031910776160657406]]"
Apple,/business/company/founders,Tim Cook,spanbert,0.9825550317764282,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",ORG,PERSON,,"[[""/business/company/founders"", 0.9825550317764282], [""/business/company/major_shareholders"", 0.007197903003543615], [""/people/person/children"", 0.0012405063025653362], [""/business/company/place_founded"", 0.001222530729137361], [""/business/person/company"", 0.000987741514109075]]"
Apple,/business/company/place_founded,California,spanbert,0.9638102054595947,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",ORG,GPE,,"[[""/business/company/place_founded"", 0.9638102054595947], [""/sports/sports_team/location"", 0.006838316097855568], [""/business/company/major_shareholders"", 0.0041946591809391975], [""/business/company/advisors"", 0.003582807956263423], [""/people/deceased_person/place_of_death"", 0.0029356474988162518]]"
Cupertino,/location/location/contains,California,spanbert,0.9978958368301392,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",GPE,GPE,,"[[""/location/location/contains"", 0.9978958368301392], [""/location/country/capital"", 0.00047144611016847193], [""/sports/sports_team_location/teams"", 0.0003340386028867215], [""/location/neighborhood/neighborhood_of"", 0.0003158219624310732], [""/people/person/place_lived"", 0.00018556849681772292]]"
Tim Cook,/business/person/company,Apple,spanbert,0.9966159462928772,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",PERSON,ORG,,"[[""/business/person/company"", 0.9966159462928772], [""/business/company_shareholder/major_shareholder_of"", 0.001030630199238658], [""/people/person/place_lived"", 0.0006722261314280331], [""/people/person/place_of_birth"", 0.0003525594947859645], [""/people/person/nationality"", 0.0002712740679271519]]"
Tim Cook,/people/person/place_lived,Cupertino,spanbert,0.874719500541687,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",PERSON,GPE,,"[[""/people/person/place_lived"", 0.874719500541687], [""/people/person/place_of_birth"", 0.10431255400180817], [""/people/deceased_person/place_of_death"", 0.018305789679288864], [""/business/person/company"", 0.0010597908403724432], [""/people/person/nationality"", 0.00035984188434667885]]"
Tim Cook,/people/person/place_lived,California,spanbert,0.541822612285614,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",PERSON,GPE,,"[[""/people/person/place_lived"", 0.541822612285614], [""/people/person/place_of_birth"", 0.24434147775173187], [""/business/person/company"", 0.1945725381374359], [""/people/person/nationality"", 0.0082591213285923], [""/people/deceased_person/place_of_death"", 0.006675765383988619]]"
California,/location/location/contains,Cupertino,spanbert,0.9993696808815002,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",GPE,GPE,,"[[""/location/location/contains"", 0.9993696808815002], [""/location/country/capital"", 0.00024846650194376707], [""/location/country/administrative_divisions"", 0.0001795505959307775], [""/location/neighborhood/neighborhood_of"", 3.7033776607131585e-05], [""/sports/sports_team_location/teams"", 3.4920081816380844e-05]]"
Google,/business/company/place_founded,Mountain View,spanbert,0.9640883803367615,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,ORG,GPE,,"[[""/business/company/place_founded"", 0.9640883803367615], [""/sports/sports_team/location"", 0.007263965904712677], [""/business/company/major_shareholders"", 0.004182302858680487], [""/business/company/advisors"", 0.003626675345003605], [""/people/deceased_person/place_of_death"", 0.0032077378127723932]]"
Google,/business/company/founders,Larry Page,spanbert,0.8245223760604858,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,ORG,PERSON,,"[[""/business/company/founders"", 0.8245223760604858], [""/business/company/major_shareholders"", 0.15420575439929962], [""/business/company/advisors"", 0.003301089396700263], [""/business/company_shareholder/major_shareholder_of"", 0.0028431888204067945], [""/business/company/place_founded"", 0.0025158359203487635]]"
Google,/business/company/founders,Sergey Brin,spanbert,0.687736451625824,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,ORG,PERSON,,"[[""/business/company/founders"", 0.687736451625824], [""/business/company/major_shareholders"", 0.2838287949562073], [""/business/company/advisors"", 0.004755957517772913], [""/business/company_shareholder/major_shareholder_of"", 0.0039060749113559723], [""/business/company/place_founded"", 0.0038419263437390327]]"
Larry Page,/business/person/company,Google,spanbert,0.8190357089042664,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,PERSON,ORG,,"[[""/business/person/company"", 0.8190357089042664], [""/business/company_shareholder/major_shareholder_of"", 0.1691865772008896], [""/business/company/founders"", 0.002098332392051816], [""/people/person/children"", 0.0015429217601194978], [""/sports/sports_team_location/teams"", 0.0008853796753101051]]"
Sergey Brin,/business/person/company,Google,spanbert,0.7501163482666016,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,PERSON,ORG,,"[[""/business/person/company"", 0.7501163482666016], [""/business/company_shareholder/major_shareholder_of"", 0.23423928022384644], [""/business/company/founders"", 0.0030723882373422384], [""/people/person/children"", 0.0018444783054292202], [""/sports/sports_team_location/teams"", 0.0012521930038928986]]"
Russia,/location/location/contains,Astana,spanbert,0.6672032475471497,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,,"[[""/location/location/contains"", 0.6672032475471497], [""/location/country/administrative_divisions"", 0.30704084038734436], [""/location/country/capital"", 0.025032641366124153], [""/location/administrative_division/country"", 9.338264499092475e-05], [""/sports/sports_team_location/teams"", 8.501337288180366e-05]]"
Moscow,/location/administrative_division/country,Russia,spanbert,0.9991474151611328,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,,"[[""/location/administrative_division/country"", 0.9991474151611328], [""/people/person/nationality"", 0.0001404414069838822], [""/people/ethnicity/geographic_distribution"", 8.316641469718888e-05], [""/business/company/industry"", 7.60755137889646e-05], [""/people/person/profession"", 6.02540785621386e-05]]"
Moscow,/location/administrative_division/country,Kazakhstan,spanbert,0.999143123626709,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,,"[[""/location/administrative_division/country"", 0.999143123626709], [""/people/person/nationality"", 0.0001207260211231187], [""/people/ethnicity/geographic_distribution"", 8.298105967696756e-05], [""/business/company/industry"", 7.595941860927269e-05], [""/people/person/profession"", 6.034243415342644e-05]]"
Kazakhstan,/location/administrative_division/country,Russia,spanbert,0.9989619255065918,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,,"[[""/location/administrative_division/country"", 0.9989619255065918], [""/people/person/nationality"", 0.00020058454538229853], [""/people/ethnicity/geographic_distribution"", 0.00013818724255543202], [""/business/company/industry"", 9.560574108036235e-05], [""/people/person/profession"", 7.730635843472555e-05]]"
Astana,/location/administrative_division/country,Russia,spanbert,0.998302698135376,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,,"[[""/location/administrative_division/country"", 0.998302698135376], [""/people/person/nationality"", 0.0005947746685706079], [""/people/ethnicity/geographic_distribution"", 0.0001648444012971595], [""/business/company/industry"", 0.00012201901699882001], [""/people/person/profession"", 9.810601477511227e-05]]"
Astana,/location/administrative_division/country,Moscow,spanbert,0.5194084644317627,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,,"[[""/location/administrative_division/country"", 0.5194084644317627], [""/location/country/capital"", 0.1768409162759781], [""/location/location/contains"", 0.14116141200065613], [""/business/company/place_founded"", 0.041157517582178116], [""/people/deceased_person/place_of_death"", 0.030678139999508858]]"
Astana,/location/administrative_division/country,Kazakhstan,spanbert,0.9990536570549011,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,,"[[""/location/administrative_division/country"", 0.9990536570549011], [""/people/person/nationality"", 0.00018908182391896844], [""/people/ethnicity/geographic_distribution"", 9.515386773273349e-05], [""/business/company/industry"", 8.072916534729302e-05], [""/people/person/profession"", 6.483134347945452e-05]]"
New York,/location/location/contains,Manhattan,spanbert,0.9993700385093689,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,,"[[""/location/location/contains"", 0.9993700385093689], [""/location/country/capital"", 0.0002455315843690187], [""/location/country/administrative_divisions"", 0.00018694937170948833], [""/location/neighborhood/neighborhood_of"", 3.997454768978059e-05], [""/sports/sports_team_location/teams"", 3.639387432485819e-05]]"
New York,/location/location/contains,the Upper West Side,spanbert,0.9993703961372375,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,FAC,,"[[""/location/location/contains"", 0.9993703961372375], [""/location/country/capital"", 0.0002383270038990304], [""/location/country/administrative_divisions"", 0.0001688258198555559], [""/location/neighborhood/neighborhood_of"", 4.4358250306686386e-05], [""/sports/sports_team_location/teams"", 4.0238133806269616e-05]]"
New York,/location/location/contains,Long Island City,spanbert,0.9993731379508972,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,,"[[""/location/location/contains"", 0.9993731379508972], [""/location/country/capital"", 0.0002528969489503652], [""/location/country/administrative_divisions"", 0.00017888344882521778], [""/location/neighborhood/neighborhood_of"", 3.72866888938006e-05], [""/sports/sports_team_location/teams"", 3.406648102100007e-05]]"
Manhattan,/location/location/contains,New York,spanbert,0.9896411299705505,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,,"[[""/location/location/contains"", 0.9896411299705505], [""/location/neighborhood/neighborhood_of"", 0.006896669045090675], [""/sports/sports_team_location/teams"", 0.0009621692006476223], [""/location/country/capital"", 0.0005295050796121359], [""/business/company/place_founded"", 0.0005091846105642617]]"
Manhattan,/location/location/contains,the Upper West Side,spanbert,0.99931800365448,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,FAC,,"[[""/location/location/contains"", 0.99931800365448], [""/location/country/capital"", 0.0002167413040297106], [""/location/country/administrative_divisions"", 0.0001457708713132888], [""/location/neighborhood/neighborhood_of"", 7.301076402654871e-05], [""/sports/sports_team_location/teams"", 6.148422107798979e-05]]"
Manhattan,/location/location/contains,Long Island City,spanbert,0.9993618130683899,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,,"[[""/location/location/contains"", 0.9993618130683899], [""/location/country/capital"", 0.00023482124379370362], [""/location/country/administrative_divisions"", 0.00015677817282266915], [""/location/neighborhood/neighborhood_of"", 5.120505011291243e-05], [""/sports/sports_team_location/teams"", 4.656105738831684e-05]]"
the Upper West Side,/location/neighborhood/neighborhood_of,New York,spanbert,0.9990922212600708,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",FAC,GPE,,"[[""/location/neighborhood/neighborhood_of"", 0.9990922212600708], [""/location/location/contains"", 0.00012272446474526078], [""/business/company/place_founded"", 0.00011681851174216717], [""/sports/sports_team_location/teams"", 8.194069960154593e-05], [""/business/company/industry"", 6.80320372339338e-05]]"
the Upper West Side,/location/neighborhood/neighborhood_of,Manhattan,spanbert,0.9991256594657898,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",FAC,GPE,,"[[""/location/neighborhood/neighborhood_of"", 0.9991256594657898], [""/business/company/place_founded"", 0.00011206441558897495], [""/location/location/contains"", 0.0001029722043313086], [""/sports/sports_team_location/teams"", 7.57227317080833e-05], [""/business/company/industry"", 6.886813207529485e-05]]"
the Upper West Side,/location/location/contains,Long Island City,spanbert,0.9943220615386963,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",FAC,GPE,,"[[""/location/location/contains"", 0.9943220615386963], [""/location/neighborhood/neighborhood_of"", 0.0038605595473200083], [""/sports/sports_team_location/teams"", 0.00041660197894088924], [""/location/country/capital"", 0.00038775362190790474], [""/business/company/place_founded"", 0.0002586111659184098]]"
Queens,/location/neighborhood/neighborhood_of,New York,spanbert,0.9956367611885071,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",ORG,GPE,,"[[""/location/neighborhood/neighborhood_of"", 0.9956367611885071], [""/location/location/contains"", 0.002644716529175639], [""/sports/sports_team_location/teams"", 0.0003436201368458569], [""/business/company/place_founded"", 0.0003415362152736634], [""/sports/sports_team/location"", 0.00011914267088286579]]"
Queens,/location/location/contains,Manhattan,spanbert,0.9853289723396301,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",ORG,GPE,,"[[""/location/location/contains"", 0.9853289723396301], [""/location/neighborhood/neighborhood_of"", 0.012318890541791916], [""/sports/sports_team_location/teams"", 0.0005791480070911348], [""/location/country/capital"", 0.00039752552402205765], [""/business/company/place_founded"", 0.000331251067109406]]"
Queens,/location/location/contains,the Upper West Side,spanbert,0.9993182420730591,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",ORG,FAC,,"[[""/location/location/contains"", 0.9993182420730591], [""/location/country/capital"", 0.00022332565276883543], [""/location/country/administrative_divisions"", 0.00014621407899539918], [""/location/neighborhood/neighborhood_of"", 7.44497956475243e-05], [""/sports/sports_team_location/teams"", 6.0298181779216975e-05]]"
