head,relation,tail,source,conf,sent_id,sentence,head_type,tail_type,note,topk
Apple,/business/company/place_founded,Cupertino,llm,1.0,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",ORG,GPE,The sentence states that Apple was founded in Cupertino.,
Apple,/business/person/company,Tim Cook,llm,1.0,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",ORG,PERSON,"Tim Cook is mentioned as leading Apple, indicating he has a company relationship with Apple.",
Apple,/business/company/place_founded,California,llm,1.0,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",ORG,GPE,"The sentence states that Apple was founded in Cupertino and Tim Cook led Apple from California, implying the company is associated with the location California.",
Cupertino,/business/company/place_founded,California,llm,1.0,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",GPE,GPE,"The sentence states that Apple was founded in Cupertino and mentions California, which could imply the state where Cupertino is located.",
Tim Cook,/business/person/company,Apple,llm,1.0,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",PERSON,ORG,"The sentence states that Tim Cook later led Apple, indicating an employment relationship between the person and the company.",
Tim Cook,/business/person/company,Cupertino,llm,1.0,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",PERSON,GPE,"Tim Cook is mentioned as leading Apple, implying he was associated with the company.",
Tim Cook,/business/person/company,California,llm,1.0,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",PERSON,GPE,"Tim Cook is mentioned as leading Apple, implying he was associated with the company.",
California,/business/company/place_founded,Cupertino,llm,1.0,0,"Apple was founded in Cupertino, and Tim Cook later led Apple from California.",GPE,GPE,"The sentence states that Apple was founded in Cupertino, which implies the place of founding.",
Google,/business/company/place_founded,Mountain View,llm,1.0,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,ORG,GPE,"The sentence states that Google was founded in Mountain View, which directly indicates the place of founding.",
Google,/business/company/founders,Larry Page,llm,1.0,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,ORG,PERSON,"The sentence states that Google was founded by Larry Page and Sergey Brin, indicating a founders relationship.",
Google,/business/company/founders,Sergey Brin,llm,1.0,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,ORG,PERSON,"The sentence states that Google was founded by Larry Page and Sergey Brin, indicating a founder relationship.",
Larry Page,/business/company/founders,Google,llm,1.0,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,PERSON,ORG,"The sentence states that Google was founded by Larry Page and Sergey Brin, which implies a founder relationship.",
Larry Page,/business/company/founders,Mountain View,llm,1.0,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,PERSON,GPE,"The sentence states that Google was founded by Larry Page and Sergey Brin, implying Larry Page is a founder of the company. However, Mountain View is not directly related to Larry Page as a founder in this context.",
Sergey Brin,/business/company/founders,Google,llm,1.0,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,PERSON,ORG,The sentence states that Google was founded by Sergey Brin and Larry Page.,
Sergey Brin,/business/company/founders,Mountain View,llm,1.0,1,Google was founded in Mountain View by Larry Page and Sergey Brin.,PERSON,GPE,"The sentence states that Google was founded by Larry Page and Sergey Brin, which implies Sergey Brin is a founder of the company. Mountain View is mentioned as the place of founding, not directly related to Sergey Brin's role.",
Russia,/location/country/capital,Moscow,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,The sentence states that Moscow is the capital of Russia.,
Russia,/location/country/capital,Kazakhstan,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,"The sentence mentions the capitals of Russia and Kazakhstan, but does not directly state a relation between the two countries.",
Russia,/location/country/capital,Astana,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,"The sentence states that Moscow is the capital of Russia and Astana is the capital of Kazakhstan, which implies a capital-city relationship.",
Moscow,/location/country/capital,Russia,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,The sentence states that Moscow is the capital of Russia.,
Moscow,/location/country/capital,Kazakhstan,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,"The sentence states that Moscow is the capital of Russia and Astana is the capital of Kazakhstan, implying a capital-country relationship.",
Moscow,/location/country/capital,Astana,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,"The sentence states that Moscow is the capital of Russia and Astana is the capital of Kazakhstan, establishing a capital-city relationship between each entity and its respective country.",
Kazakhstan,/location/country/capital,Russia,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,"The sentence mentions that Astana is the capital of Kazakhstan, which implies a relation between the two countries regarding their capitals.",
Kazakhstan,/location/country/capital,Moscow,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,"The sentence states that Astana is the capital of Kazakhstan, which implies that Moscow is not related to Kazakhstan as a capital city.",
Kazakhstan,/location/country/capital,Astana,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,The sentence states that Astana is the capital of Kazakhstan.,
Astana,/location/country/capital,Russia,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,"The sentence states that Astana is the capital of Kazakhstan, and Russia is mentioned as a different country, establishing a relation between a country and its capital.",
Astana,/location/country/capital,Moscow,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,"The sentence states that Astana is the capital of Kazakhstan, while Moscow is the capital of Russia, indicating a capital-city relationship.",
Astana,/location/country/capital,Kazakhstan,llm,1.0,2,"In Russia, Moscow is the capital, but in Kazakhstan, Astana is the capital.",GPE,GPE,The sentence states that Astana is the capital of Kazakhstan.,
New York,/location/location/contains,Manhattan,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,"The sentence states that Manhattan contains the Upper West Side, which implies a containment relationship between New York and Manhattan.",
New York,/location/location/contains,the Upper West Side,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,FAC,The sentence states that Manhattan contains the Upper West Side.,
New York,/location/location/contains,Long Island City,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,"The sentence states that Manhattan contains the Upper West Side and Queens contains Long Island City, indicating a containment relationship.",
Manhattan,/location/location/contains,New York,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,"The sentence states that Manhattan contains the Upper West Side, and by extension, it implies that New York contains Manhattan.",
Manhattan,/location/location/contains,the Upper West Side,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,FAC,The sentence states that Manhattan contains the Upper West Side.,
Manhattan,/location/location/contains,Long Island City,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,"The sentence states that Manhattan contains the Upper West Side and Queens contains Long Island City, indicating a containment relationship.",
the Upper West Side,/location/location/contains,New York,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",FAC,GPE,"The sentence states that Manhattan contains the Upper West Side and Queens contains Long Island City, implying a containment relationship between New York and the Upper West Side.",
the Upper West Side,/location/location/contains,Manhattan,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",FAC,GPE,The sentence states that Manhattan contains the Upper West Side.,
the Upper West Side,/location/location/contains,Long Island City,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",FAC,GPE,"The sentence states that Manhattan contains the Upper West Side and Queens contains Long Island City, which implies a containment relationship.",
Queens,/location/location/contains,New York,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",ORG,GPE,"The sentence states that Queens contains Long Island City, which implies a location containment relation.",
Queens,/location/location/contains,Manhattan,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",ORG,GPE,"The sentence states that Queens contains Long Island City and Manhattan contains the Upper West Side, indicating a containment relationship.",
Queens,/location/location/contains,the Upper West Side,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",ORG,FAC,"The sentence states that Queens contains Long Island City and Manhattan contains the Upper West Side, indicating a containment relationship.",
Queens,/location/location/contains,Long Island City,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",ORG,GPE,The sentence states that Queens contains Long Island City.,
Long Island City,/location/location/contains,New York,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,"The sentence states that Queens contains Long Island City, and Manhattan contains the Upper West Side. Although New York is mentioned as a GPE, there's no explicit relation stated between Long Island City and New York in the given sentence.",
Long Island City,/location/location/contains,Manhattan,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,GPE,"The sentence states that Queens contains Long Island City and Manhattan contains the Upper West Side, indicating a containment relationship.",
Long Island City,/location/location/contains,the Upper West Side,llm,1.0,3,"In New York, Manhattan contains the Upper West Side, and Queens contains Long Island City.",GPE,FAC,"The sentence states that Queens contains Long Island City, which implies a containment relation between the two locations.",
Elon Musk,/business/person/company,Tesla,llm,1.0,4,"Elon Musk is associated with Tesla, and Tesla has major shareholders including Elon Musk.",PERSON,ORG,"Elon Musk is associated with Tesla, indicating he has a company relation with it.",
Tesla,/business/company/major_shareholders,Elon Musk,llm,1.0,4,"Elon Musk is associated with Tesla, and Tesla has major shareholders including Elon Musk.",ORG,PERSON,"The sentence states that Tesla has major shareholders including Elon Musk, which implies Elon Musk is one of the major shareholders of Tesla.",
